,,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,50.0,50,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,51.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
53,52.0,51,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,22.7,2,20,5,25.0,0.88,0.22,0.10,0.40,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5,Matches
54,53.0,52,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,18.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
55,54.0,53,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,1997,18.6,2,9,5,55.6,0.48,0.27,0.22,0.40,17.4,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Matches
56,55.0,54,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,9.1,2,11,2,18.2,1.21,0.22,0.18,1.00,18.3,0,0,0,1.4,1.4,0.13,+0.6,+0.6,Matches
57,56.0,55,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,57.0,56,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,17.9,7,36,22,61.1,2.01,1.23,0.19,0.32,15.7,1,0,0,5.4,5.4,0.15,+1.6,+1.6,Matches
59,58.0,57,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,59.0,58,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,3.4,0,2,0,0.0,0.59,0.00,0.00,,15.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
61,60.0,59,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,7.8,0,7,3,42.9,0.89,0.38,0.00,0.00,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
62,61.0,60,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,62.0,61,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,0,2,0,0.0,0.16,0.00,0.00,,6.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
64,63.0,62,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,12.8,0,14,3,21.4,1.09,0.23,0.00,0.00,19.8,6,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
65,64.0,63,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,25.7,5,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4,0,0,4.7,4.7,0.08,+0.3,+0.3,Matches
66,65.0,64,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,22.6,0,6,1,16.7,0.27,0.04,0.00,0.00,9.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
67,66.0,65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,67.0,66,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,4.2,0,11,2,18.2,2.61,0.47,0.00,0.00,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
69,68.0,67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,34.8,3,46,10,21.7,1.32,0.29,0.02,0.10,24.9,8,2,2,3.3,1.7,0.04,-0.3,-0.7,Matches
70,69.0,68,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,24.4,0,24,5,20.8,0.98,0.21,0.00,0.00,19.7,3,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
71,70.0,69,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,18.8,0,11,2,18.2,0.59,0.11,0.00,0.00,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
72,71.0,70,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,11.3,1,16,5,31.3,1.41,0.44,0.06,0.20,18.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
73,72.0,71,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,+0.4,+0.7,Matches
74,73.0,72,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,0,4,2,50.0,2.77,1.38,0.00,0.00,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
75,74.0,73,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,2.8,0,3,0,0.0,1.08,0.00,0.00,,17.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
76,75.0,74,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,9.6,1,18,6,33.3,1.88,0.63,0.06,0.17,21.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
77,76.0,75,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,2001,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,14.5,0,0,0,3.0,3.0,0.09,+1.0,+1.0,Matches
78,77.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
79,78.0,76,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,11.2,4,28,9,32.1,2.50,0.80,0.14,0.44,19.0,1,0,0,2.4,2.4,0.09,+1.6,+1.6,Matches
80,79.0,77,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,80.0,78,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,3.7,1,8,2,25.0,2.14,0.54,0.13,0.50,17.4,0,0,0,1.2,1.2,0.16,-0.2,-0.2,Matches
82,81.0,79,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,14.8,0,0,0,2.6,2.6,0.07,-0.6,-0.6,Matches
83,82.0,80,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,10.7,2,10,4,40.0,0.93,0.37,0.20,0.50,19.3,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
84,83.0,81,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5,Matches
85,84.0,82,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,23.4,2,40,15,37.5,1.71,0.64,0.05,0.13,19.7,0,0,0,2.3,2.3,0.06,-0.3,-0.3,Matches
86,85.0,83,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,2.8,0,3,2,66.7,1.07,0.71,0.00,0.00,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
87,86.0,84,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,8.6,0,1,0,0.0,0.12,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
88,87.0,85,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,6.3,1,7,2,28.6,1.11,0.32,0.14,0.50,22.3,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
89,88.0,86,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
90,89.0,87,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,28.2,2,14,3,21.4,0.50,0.11,0.14,0.67,16.5,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
91,90.0,88,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,8.5,1,12,4,33.3,1.42,0.47,0.08,0.25,13.9,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
92,91.0,89,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5,Matches
93,92.0,90,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.00,0.00,14.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
94,93.0,91,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,4.7,1,9,3,33.3,1.90,0.63,0.11,0.33,22.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
95,94.0,92,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,1.4,1,5,3,60.0,3.66,2.20,0.20,0.33,15.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
96,95.0,93,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19,2004,9.9,2,13,5,38.5,1.32,0.51,0.15,0.40,14.7,0,0,0,2.6,2.6,0.20,-0.6,-0.6,Matches
97,96.0,94,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,26,1996,6.7,0,11,4,36.4,1.64,0.60,0.00,0.00,21.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
98,97.0,95,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,4.4,0,12,2,16.7,2.74,0.46,0.00,0.00,14.1,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Matches
99,98.0,96,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,0.2,0,1,0,0.0,4.09,0.00,0.00,,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
100,99.0,97,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.00,1.00,26.9,1,0,0,0.1,0.1,0.10,+0.9,+0.9,Matches
101,100.0,98,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,2000,21.7,5,48,21,43.8,2.21,0.97,0.08,0.19,17.8,0,1,1,5.8,5.0,0.10,-0.8,-1.0,Matches
102,101.0,99,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,1998,8.9,0,1,0,0.0,0.11,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
103,102.0,100,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,6.4,0,5,3,60.0,0.78,0.47,0.00,0.00,9.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
104,103.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
105,104.0,101,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,1996,11.1,3,6,4,66.7,0.54,0.36,0.50,0.75,16.8,0,0,0,0.8,0.8,0.14,+2.2,+2.2,Matches
106,105.0,102,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,1996,14.6,1,35,8,22.9,2.40,0.55,0.03,0.13,26.8,11,0,1,2.2,1.4,0.04,-1.2,-0.4,Matches
107,106.0,103,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,26,1996,1.0,0,3,2,66.7,3.14,2.09,0.00,0.00,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
108,107.0,104,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
109,108.0,105,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,26,1996,10.4,0,3,0,0.0,0.29,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
110,109.0,106,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27,1996,37.9,2,21,8,38.1,0.55,0.21,0.10,0.25,12.8,1,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
111,110.0,107,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,20,2002,11.4,0,19,4,21.1,1.67,0.35,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches
112,111.0,108,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,30,1993,30.8,5,43,11,25.6,1.40,0.36,0.12,0.45,17.3,1,0,0,4.4,4.4,0.10,+0.6,+0.6,Matches
113,112.0,109,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32,1990,28.6,4,23,9,39.1,0.81,0.32,0.17,0.44,17.0,0,0,0,2.6,2.6,0.11,+1.4,+1.4,Matches
114,113.0,110,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28,1995,1.9,0,2,0,0.0,1.07,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
115,114.0,111,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,1994,18.8,4,23,9,39.1,1.22,0.48,0.17,0.44,20.0,2,0,0,1.7,1.7,0.07,+2.3,+2.3,Matches
116,115.0,112,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25,1998,17.3,1,9,2,22.2,0.52,0.12,0.11,0.50,10.4,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
117,116.0,113,Angeliño,es ESP,DF,Roma,it Serie A,26,1997,12.7,0,8,2,25.0,0.63,0.16,0.00,0.00,24.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
118,117.0,114,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29,1994,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,118.0,115,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.00,0.00,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
120,119.0,116,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27,1996,32.1,0,28,6,21.4,0.87,0.19,0.00,0.00,15.9,0,0,0,1.7,1.7,0.06,-1.7,-1.7,Matches
121,120.0,117,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.20,0.43,13.1,0,0,0,5.8,5.8,0.19,+0.2,+0.2,Matches
122,121.0,118,Antony,br BRA,FW,Manchester Utd,eng Premier League,23,2000,14.7,1,43,15,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,3.4,3.4,0.08,-2.4,-2.4,Matches
123,122.0,119,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,1994,13.5,2,29,9,31.0,2.15,0.67,0.07,0.22,18.2,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches
124,123.0,120,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,1998,8.4,4,12,7,58.3,1.43,0.83,0.33,0.57,13.3,0,0,0,2.3,2.3,0.19,+1.7,+1.7,Matches
125,124.0,121,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,2004,0.9,0,4,0,0.0,4.29,0.00,0.00,,23.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
126,125.0,122,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,1995,3.8,0,9,2,22.2,2.39,0.53,0.00,0.00,21.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
127,126.0,123,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21,2002,6.0,0,4,0,0.0,0.66,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
128,127.0,124,Asaf Arania,il ISR,MF,Darmstadt 98,de Bundesliga,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129,128.0,125,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,2001,16.2,1,7,2,28.6,0.43,0.12,0.14,0.50,20.5,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
130,129.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
131,130.0,126,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24,1999,22.2,1,23,9,39.1,1.04,0.41,0.04,0.11,12.4,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches
132,131.0,127,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19,2004,10.5,0,1,1,100.0,0.10,0.10,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
133,132.0,128,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22,2001,20.4,4,42,9,21.4,2.06,0.44,0.10,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,Matches
134,133.0,129,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
135,134.0,130,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
136,135.0,131,Adu Ares,es ESP,FW,Athletic Club,es La Liga,21,2001,2.9,0,4,0,0.0,1.36,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
137,136.0,132,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24,1999,29.6,1,9,2,22.2,0.30,0.07,0.11,0.50,27.1,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Matches
138,137.0,133,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
139,138.0,134,Matias Arezo,uy URU,FW,Granada,es La Liga,20,2002,4.1,0,12,4,33.3,2.93,0.98,0.00,0.00,18.1,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
140,139.0,135,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
141,140.0,136,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25,1998,2.6,0,2,0,0.0,0.77,0.00,0.00,,28.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
142,141.0,137,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,1995,10.3,2,29,9,31.0,2.81,0.87,0.07,0.22,22.7,5,0,0,1.7,1.7,0.06,+0.3,+0.3,Matches
143,142.0,138,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20,2003,14.3,2,12,6,50.0,0.84,0.42,0.17,0.33,18.2,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
144,143.0,139,Marko Arnautović,at AUT,FW,Inter,it Serie A,34,1989,8.9,5,17,9,52.9,1.91,1.01,0.29,0.56,11.5,0,0,0,5.0,5.0,0.29,0.0,0.0,Matches
145,144.0,140,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29,1994,27.8,2,32,12,37.5,1.15,0.43,0.06,0.17,27.8,8,0,0,1.0,1.0,0.03,+1.0,+1.0,Matches
146,145.0,141,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
147,146.0,142,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,21,2001,22.7,9,60,22,36.7,2.64,0.97,0.15,0.41,16.8,1,0,0,8.6,8.6,0.15,+0.4,+0.4,Matches
148,147.0,143,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,13.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
149,148.0,144,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20,2003,2.0,0,2,1,50.0,0.98,0.49,0.00,0.00,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
150,149.0,145,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28,1994,22.1,6,65,23,35.4,2.95,1.04,0.09,0.26,14.9,0,0,0,7.9,7.9,0.12,-1.9,-1.9,Matches
151,150.0,146,Marco Asensio,es ESP,"MF,FW",Paris S-G,fr Ligue 1,27,1996,12.4,4,27,10,37.0,2.18,0.81,0.15,0.40,19.2,1,0,0,3.2,3.2,0.12,+0.8,+0.8,Matches
152,151.0,147,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21,2002,8.7,1,15,4,26.7,1.72,0.46,0.07,0.25,27.1,1,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
153,152.0,148,Joel Asoro,se SWE,"FW,MF",Metz,fr Ligue 1,24,1999,9.4,2,6,3,50.0,0.64,0.32,0.33,0.67,15.4,0,0,0,0.6,0.6,0.10,+1.4,+1.4,Matches
154,153.0,149,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,de Bundesliga,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
155,154.0,150,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35,1987,30.1,9,74,23,31.1,2.46,0.76,0.08,0.26,20.0,6,3,5,11.5,7.5,0.10,-2.5,-1.5,Matches
156,155.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
157,156.0,151,Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23,2000,13.7,1,9,4,44.4,0.66,0.29,0.11,0.25,22.1,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
158,157.0,152,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23,2000,11.2,1,11,4,36.4,0.98,0.36,0.09,0.25,22.9,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
